Year,State,count
2021,LA,19.0
2021,MA,1023.0
2021,MD,349.0
2021,ME,79.0
2021,MI,305.0
2021,MN,137.0
2021,MO,516.0
2021,MS,13.0
2021,MT,8.0
2021,NC,275.0
2021,ND,19.0
2021,NE,73.0
2021,NH,27.0
2021,NJ,186.0
2021,NM,73.0
2021,NV,164.0
2021,NY,868.0
2021,OH,325.0
2021,OK,55.0
2021,OR,235.0
2021,PA,337.0
2021,RI,105.0
2021,SC,77.0
2021,SD,13.0
2021,TN,222.0
2021,TX,676.0
2021,UT,315.0
2021,VA,304.0
2021,VT,75.0
2021,WA,536.0
2021,WI,96.0
2021,WV,23.0
2021,WY,10.0
2022,AK,12.0
2022,AL,93.0
2022,AR,72.0
2022,AZ,255.0
2022,CA,2648.0
2022,CO,422.0
2022,CT,156.0
2022,DE,35.0
2022,FL,707.0
2022,GA,264.0
2022,HI,58.0
2022,IA,77.0
2022,ID,15.0
2022,IL,404.0
2022,IN,111.0
2022,KS,45.0
2022,KY,50.0
2022,LA,60.0
2022,MA,598.0
2022,MD,277.0
2022,ME,128.0
2022,MI,422.0
2022,MN,109.0
2022,MO,92.0
2022,MS,16.0
2022,MT,31.0
2022,NC,239.0
2022,ND,10.0
2022,NE,59.0
2022,NH,55.0
2022,NJ,349.0
2022,NM,37.0
2022,NV,113.0
2022,NY,859.0
2022,OH,379.0
2022,OK,49.0
2022,OR,180.0
2022,PA,381.0
2022,RI,71.0
2022,SC,86.0
2022,SD,16.0
2022,TN,122.0
2022,TX,634.0
2022,UT,103.0
2022,VA,215.0
2022,VT,63.0
2022,WA,312.0
2022,WI,130.0
2022,WV,26.0
2022,WY,15.0
2011,AK,0.0
2011,AL,8.0
2011,AR,18.0
2011,AZ,27.0
2011,CA,181.0
2011,CO,18.0
2011,CT,44.0
2011,DE,0.0
2011,FL,77.0
2011,GA,41.0
2011,HI,13.0
2011,IA,15.0
2011,ID,0.0
2011,IL,11.0
2011,IN,4.0
2011,KS,6.0
2011,KY,1.0
2011,LA,3.0
2011,MA,8.0
2011,MD,55.0
2011,ME,1.0
2011,MI,32.0
2011,MN,9.0
2011,MO,19.0
2011,MS,0.0
2011,MT,0.0
2011,NC,37.0
2011,ND,0.0
2011,NE,0.0
2011,NH,17.0
2011,NJ,1.0
2011,NM,0.0
2011,NV,1.0
2011,NY,71.0
2011,OH,12.0
2011,OK,0.0
2011,OR,35.0
2011,PA,10.0
2011,RI,3.0
2011,SC,31.0
2011,SD,0.0
2011,TN,56.0
2011,TX,99.0
2011,UT,11.0
2011,VA,36.0
2011,VT,2.0
2011,WA,62.0
2011,WI,8.0
2011,WV,2.0
2011,WY,0.0
2012,AK,0.0
2012,AL,30.0
2012,AR,0.0
2012,AZ,17.0
2012,CA,129.0
2012,CO,30.0
2012,CT,35.0
2012,DE,7.0
2012,FL,127.0
2012,GA,41.0
2012,HI,55.0
2012,IA,11.0
2012,ID,5.0
2012,IL,77.0
2012,IN,38.0
2012,KS,25.0
2012,KY,19.0
2012,LA,25.0
2012,MA,51.0
2012,MD,51.0
2012,ME,17.0
2012,MI,27.0
2012,MN,13.0
2012,MO,8.0
2012,MS,23.0
2012,MT,1.0
2012,NC,90.0
2012,ND,2.0
2012,NE,4.0
2012,NH,2.0
2012,NJ,54.0
2012,NM,9.0
2012,NV,3.0
2012,NY,13.0
2012,OH,66.0
2012,OK,17.0
2012,OR,33.0
2012,PA,77.0
2012,RI,5.0
2012,SC,62.0
2012,SD,7.0
2012,TN,14.0
2012,TX,22.0
2012,UT,17.0
2012,VA,47.0
2012,VT,5.0
2012,WA,46.0
2012,WI,33.0
2012,WV,13.0
2012,WY,0.0
2016,AK,0.0
2016,AL,11.0
2016,AR,4.0
2016,AZ,36.0
2016,CA,306.0
2016,CO,47.0
2016,CT,70.0
2016,DE,2.0
2016,FL,99.0
2016,GA,68.0
2016,HI,17.0
2016,IA,11.0
2016,ID,25.0
2016,IL,37.0
2016,IN,19.0
2016,KS,34.0
2016,KY,13.0
2016,LA,13.0
2016,MA,28.0
2016,MD,89.0
2016,ME,39.0
