id,road_length,count
832aa4fffffffff,882576.8578887157,153
832b8afffffffff,729512.3524007364,156
832655fffffffff,615130.3484022499,23
83260bfffffffff,894836.8266736404,56
832640fffffffff,1145539.1115923366,97
83265afffffffff,378375.07180387067,12
8326e9fffffffff,599876.1708397103,9
83444bfffffffff,565860.6539968975,38
83265dfffffffff,735936.2302781595,13
83265bfffffffff,949932.9023119557,63
83444afffffffff,588661.0383947855,3
83262bfffffffff,821663.4845467764,16
832629fffffffff,712157.8462787982,19
832674fffffffff,853230.6674813281,74
832675fffffffff,858771.3235536879,32
832601fffffffff,606966.4379663661,20
832889fffffffff,542861.6001367951,30
832773fffffffff,262536.10795752995,6
8328d0fffffffff,341760.1314310971,58
832a9afffffffff,749439.8598225414,23
83266dfffffffff,1602819.4289457446,58
832669fffffffff,911942.8449591983,14
8328d3fffffffff,73667.36891686541,4
832a9dfffffffff,813674.8719533635,19
832a80fffffffff,1103389.6439183643,33
83260efffffffff,783545.166846325,56
832aadfffffffff,706967.8912044473,109
832a90fffffffff,1273166.9569453497,130
832ab1fffffffff,1738843.630148914,46
832a94fffffffff,1269405.9549518425,87
832a86fffffffff,1089119.3922948565,49
832a96fffffffff,1017645.0332171216,58
832ab0fffffffff,95065.99150975038,14
832ab5fffffffff,553910.9193759101,44
8344d0fffffffff,392170.04519596027,104
832ad3fffffffff,351376.67022511194,52
834441fffffffff,1012093.1971803092,12
834440fffffffff,856510.1805249375,34
83444cfffffffff,1221686.4807290924,13
83445cfffffffff,883563.9665443448,17
834442fffffffff,673039.1990298342,4
83445afffffffff,553471.647726631,15
83445dfffffffff,571543.0948752385,3
834458fffffffff,783100.0196912559,6
834455fffffffff,617621.7674429899,27
834451fffffffff,712434.1693890237,7
834443fffffffff,827374.5221448493,6
834445fffffffff,769944.433316564,29
83444efffffffff,916849.4605053649,8
832a31fffffffff,460537.99748021516,134
83464efffffffff,57920.88540305995,28
835d10fffffffff,297766.7639629848,26
8344c5fffffffff,759015.6229603271,30
83275efffffffff,883449.5007837345,33
832616fffffffff,229026.67109013765,22
8344d5fffffffff,878387.028129171,103
8344e2fffffffff,926774.1798938786,44
8344c4fffffffff,849394.9338219248,15
8344c6fffffffff,831668.9444879285,7
832699fffffffff,490707.03030950093,41
832688fffffffff,382180.1078910583,42
8344f6fffffffff,480990.5312668791,106
8344e0fffffffff,595619.8914613482,14
8344e5fffffffff,449635.7058470428,51
834456fffffffff,125564.90964033274,24
8344e3fffffffff,497520.56345618673,19
8344c2fffffffff,711330.9904625295,36
8344c3fffffffff,685742.1305377409,33
8344eafffffffff,868333.939619088,50
8344eefffffffff,765581.8084809793,57
8344ebfffffffff,1093967.5792758295,20
834452fffffffff,807533.085800147,21
8344e1fffffffff,625535.3858151478,16
832894fffffffff,384048.26817854476,21
83275bfffffffff,730489.1162624011,37
832665fffffffff,758407.8565242426,36
832668fffffffff,1091306.9613711338,101
8348d8fffffffff,622684.7604417622,145
832b1afffffffff,1244863.912895886,95
832ad4fffffffff,835837.5324367537,47
8344dbfffffffff,1209462.0148926198,70
832ad5fffffffff,173169.95785949592,31
832af2fffffffff,727002.1979498377,14
832ad0fffffffff,683224.8752184092,35
8326c1fffffffff,1081600.44851074,137
8326eafffffffff,1099674.1642499832,30
8344d1fffffffff,1275932.380607628,16
83275cfffffffff,824985.3772630165,43
832af0fffffffff,146498.83235592715,24
83274bfffffffff,1246013.1346768034,81
83266afffffffff,1027202.7652205428,14
832a92fffffffff,1187527.4196767109,42
8326e5fffffffff,947420.4380147313,47
8326e4fffffffff,477346.4627109259,8
8326e0fffffffff,644482.2719496415,13
8326e3fffffffff,1025975.206384557,41
832666fffffffff,1028652.523023613,69
832641fffffffff,823487.6258649508,13
832663fffffffff,938659.675018772,38
832751fffffffff,548226.7498386807,12
832a88fffffffff,644985.9990781742,20
832aa9fffffffff,392402.68893603265,70
83262cfffffffff,925276.3509084772,142
832aa3fffffffff,759547.3203959131,49
832aa1fffffffff,1292814.9671386823,88
832600fffffffff,473370.78610999987,16
832648fffffffff,863084.4076946215,10
832753fffffffff,910769.6060438489,21
832743fffffffff,493565.22407805314,24
8326e1fffffffff,658804.0850492369,4
8326e2fffffffff,484658.67621637974,8
8344acfffffffff,319566.2648971414,12
832913fffffffff,146618.40209174345,38
8344f3fffffffff,661973.555645677,49
8344abfffffffff,44562.05607905041,41
835d11fffffffff,91554.24958485273,23
83275afffffffff,780447.7152864601,27
83266efffffffff,757269.5448896099,16
8326e8fffffffff,1097130.8686936167,35
8326ebfffffffff,583053.9185179266,8
832631fffffffff,379296.70204098,4
8328b6fffffffff,412952.41250196454,43
832995fffffffff,199447.08106233584,41
83274efffffffff,298156.6126967589,39
832653fffffffff,829864.9325234015,49
832898fffffffff,422008.38586241676,16
832626fffffffff,573669.7535128201,28
832719fffffffff,538197.9174358379,13
832608fffffffff,1137660.1249902162,47
832ba9fffffffff,430097.0553728563,52
832989fffffffff,619529.2402476146,204
8344edfffffffff,634480.3263173712,22
83269cfffffffff,352274.6693518666,39
832709fffffffff,173427.29025071382,7
8329a9fffffffff,435914.5980571717,66
832a91fffffffff,947882.021977501,43
8326aefffffffff,553159.467642985,7
8329acfffffffff,372965.05923035386,53
83270afffffffff,204462.6347816756,5
832683fffffffff,409559.16100605536,130
832babfffffffff,1163736.3433682634,131
832a85fffffffff,1015255.084887355,55
8329a3fffffffff,353693.6098782352,60
832892fffffffff,387199.2812313527,18
83281afffffffff,317618.97946920985,13
83262efffffffff,607577.8890643991,24
832652fffffffff,594618.6464320689,14
832745fffffffff,394881.37672321947,33
8328d2fffffffff,213247.72498010684,8
83274cfffffffff,805659.8422092292,40
8328d6fffffffff,470476.51601533557,43
8312dafffffffff,310406.14788882295,2
832628fffffffff,871592.032538141,22
8326b6fffffffff,316379.85506334866,33
832756fffffffff,523401.10154992726,18
83446bfffffffff,728870.6124548389,5
83488efffffffff,374712.91622781707,2
8326c2fffffffff,495250.2632462312,7
8328f3fffffffff,353915.95090288535,35
83268efffffffff,507548.99292222,36
83269dfffffffff,236144.03899353463,44
832b18fffffffff,289859.99904915923,30
83288dfffffffff,589044.4874738913,13
834448fffffffff,797070.9451705265,6
83276bfffffffff,600849.0398860199,22
83260afffffffff,743957.5372477147,48
832658fffffffff,518994.61273514427,12
