State,Year,count
MO,2016.0,49
MO,2017.0,109
MO,2018.0,31
MO,2019.0,62
MO,2020.0,80
MO,2021.0,516
MO,2022.0,92
MO,2023.0,69
MS,2012.0,23
MS,2014.0,1
MS,2015.0,2
MS,2016.0,7
MS,2017.0,16
MS,2018.0,8
MS,2019.0,13
MS,2020.0,18
MS,2021.0,13
MS,2022.0,16
MS,2023.0,1
MT,2012.0,1
MT,2013.0,2
MT,2014.0,4
MT,2015.0,8
MT,2016.0,9
MT,2017.0,8
MT,2018.0,11
MT,2019.0,7
MT,2020.0,13
MT,2021.0,8
MT,2022.0,31
MT,2023.0,3
NC,2010.0,2
NC,2011.0,37
NC,2012.0,90
NC,2013.0,13
NC,2014.0,34
NC,2015.0,45
NC,2016.0,45
NC,2017.0,74
NC,2018.0,75
NC,2019.0,102
NC,2020.0,120
NC,2021.0,275
NC,2022.0,239
NC,2023.0,34
ND,2012.0,2
ND,2015.0,1
ND,2017.0,3
ND,2018.0,9
ND,2019.0,9
ND,2020.0,26
ND,2021.0,19
ND,2022.0,10
ND,2023.0,4
NE,2012.0,4
NE,2013.0,2
NE,2014.0,2
NE,2015.0,7
NE,2016.0,16
NE,2017.0,9
NE,2018.0,7
NE,2019.0,15
NE,2020.0,17
NE,2021.0,73
NE,2022.0,59
NE,2023.0,2
NH,2011.0,17
NH,2012.0,2
NH,2013.0,7
NH,2014.0,13
NH,2015.0,25
NH,2016.0,17
NH,2017.0,3
NH,2018.0,18
NH,2019.0,9
NH,2020.0,10
NH,2021.0,27
NH,2022.0,55
NH,2023.0,3
NJ,2007.0,1
NJ,2010.0,1
NJ,2011.0,1
NJ,2012.0,54
NJ,2013.0,8
NJ,2014.0,18
NJ,2015.0,18
NJ,2016.0,25
NJ,2017.0,28
NJ,2018.0,40
NJ,2019.0,112
NJ,2020.0,84
NJ,2021.0,186
NJ,2022.0,349
NJ,2023.0,46
NM,2012.0,9
NM,2014.0,6
NM,2015.0,11
NM,2016.0,7
NM,2017.0,10
NM,2018.0,9
NM,2019.0,16
NM,2020.0,32
NM,2021.0,73
NM,2022.0,37
NM,2023.0,41
NV,2011.0,1
NV,2012.0,3
NV,2013.0,4
NV,2014.0,31
